Symbol,Total Cash,Debt Growth (QoQ),Net Cash,Total Debt,Net Cash Growth,Debt Growth (3Y),Debt Growth (YoY),Debt Growth (5Y),Cash / M.Cap,ROE,ROCE,ROIC (5Y),ROA,ROE (5Y),Rev / Employee,ROIC,ROA (5Y),Prof / Employee,Asset Turnover,F-Score,Inv. Turnover,Z-Score,Stock Price,Volume,RSI,RSI (W),RSI (M),EPS
MMSI,376715000,-2.99%,-417950000,794665000,,36.13%,-10.85%,8.70%,-7.78%,9.20%,8.23%,4.05%,5.10%,5.54%,183313,5.75%,3.36%,16264,0.57,6,2.34,4.66,91.54000,906089,42.65,45.39,57.01,2.03
QXO,5068504000,-13.75%,5067927000,577000,143711.78%,-36.81%,-77.97%,-23.71%,93.81%,1.00%,-1.41%,-1.83%,1.00%,-2.70%,269540,-0.77%,-1.08%,132555,0.02,4,,72.61,13.20000,2562715,48.09,38.41,41.92,-0.11
CZR,961000000,-1.41%,-24080000000,25041000000,,-1.52%,-0.03%,47.87%,-451.60%,-6.50%,7.17%,5.15%,-0.80%,-19.56%,224900,,-2.40%,-5560,0.34,5,110.40,0.54,25.45000,6108786,43.69,34.75,35.97,-1.29
SAIC,56000000,1.87%,-2337000000,2393000000,,-4.06%,6.54%,2.72%,-43.34%,22.00%,14.39%,10.22%,6.90%,19.62%,311625,11.99%,5.76%,15083,1.42,7,,3.02,112.96000,809685,56.45,48.42,48.58,7.17
BYD,321364000,2.51%,-3506977000,3828341000,,-0.17%,5.55%,-3.63%,-66.26%,34.60%,16.11%,10.82%,9.20%,26.38%,243673,13.18%,6.92%,35833,0.62,6,89.70,2.09,64.30000,1157782,42.92,39.92,49.87,6.19
TRNO,18352000,22.51%,-805085000,823437000,,4.54%,6.72%,10.87%,-14.60%,5.20%,,3.41%,4.00%,5.96%,9110024,3.30%,4.36%,4373952,0.08,4,,,53.96000,1131165,32.43,32.03,42.98,1.92
HR,68916000,-5.70%,-4890700000,4959616000,,37.21%,-6.41%,10.96%,-91.99%,-11.40%,,0.77%,-5.70%,-2.00%,23060291,,-1.04%,-11899727,0.11,4,,,15.16000,3030107,29.22,33.17,38.03,-1.81
ACIW,216394000,-6.95%,-730775000,947169000,,-5.12%,-11.24%,-7.78%,-13.67%,15.50%,13.33%,7.03%,6.40%,10.88%,513789,10.54%,4.18%,65459,0.50,7,,3.78,50.93000,768440,44.98,48.73,62.34,1.91
COLD,47652000,-2.09%,-3632746000,3680398000,,2.46%,5.38%,13.76%,-67.99%,-2.80%,,1.16%,-1.20%,-2.44%,193860,,-1.10%,-6857,0.34,4,,,18.84000,3318026,38.93,30.87,36.77,-0.33
BMI,295305000,,295305000,,53.98%,,,,5.51%,21.80%,23.85%,16.14%,15.90%,17.30%,418299,19.55%,12.84%,63230,1.05,7,3.35,18.55,182.17000,297652,39.86,36.73,52.52,4.23
CROX,183678000,-4.10%,-1517618000,1701296000,,20.86%,-14.78%,34.00%,-28.35%,55.80%,25.05%,40.24%,20.00%,130.94%,518598,30.14%,26.28%,120110,0.86,7,4.56,3.70,95.50000,1907879,43.86,39.41,44.03,15.88
VOYA,1514000000,-0.55%,-2089000000,3603000000,,1.20%,5.04%,0.48%,-38.94%,14.80%,,13.75%,0.40%,13.32%,894444,13.30%,0.48%,69556,0.05,6,,,55.99000,1278722,33.87,28.32,38.80,6.17
FCFS,840463000,-0.21%,-1209542000,2050005000,,8.92%,6.60%,17.60%,-22.60%,12.80%,10.83%,6.98%,5.90%,11.12%,169426,8.26%,5.42%,12941,0.78,7,5.44,3.14,119.37000,391069,51.93,58.36,57.77,5.73
STEP,279504000,-2.56%,-1613000,281117000,,27.32%,16.09%,,-0.03%,-40.10%,,,-3.30%,,1165567,-35.30%,,-131547,0.29,3,,,45.67000,811887,39.66,35.62,50.58,-1.67
APA,625000000,-5.15%,-5419000000,6044000000,,-6.98%,16.50%,-6.74%,-102.72%,17.50%,9.66%,18.24%,4.40%,282.48%,4224295,11.06%,4.64%,348807,0.53,5,,0.89,14.60000,23748643,31.40,29.02,29.21,2.27
MOG.B,59731000,3.10%,-888884000,948615000,,-0.69%,-1.10%,2.80%,-16.75%,11.30%,10.25%,8.11%,4.80%,9.44%,259954,9.38%,3.92%,14058,0.89,6,3.41,3.76,153.26600,55,20.59,34.38,50.05,6.56
KEX,74444000,-8.82%,-984401000,1058845000,,-7.94%,-10.93%,-7.18%,-18.70%,8.70%,8.05%,0.27%,4.90%,0.54%,603228,7.16%,0.42%,52957,0.56,7,5.19,2.84,93.22000,616014,42.58,37.52,47.74,4.91
ACT,599432000,0.05%,-143618000,743050000,,0.12%,-0.32%,,-2.72%,14.10%,,12.36%,10.70%,13.92%,2854570,12.84%,10.18%,1634366,0.19,4,,,34.84000,1639883,57.77,57.20,63.00,4.37
CRK,6799000,-0.18%,-3018958000,3025757000,,4.89%,11.57%,3.86%,-55.91%,-9.40%,-2.91%,14.13%,-3.50%,7.90%,4900215,-3.20%,2.80%,-854508,0.20,2,,1.01,18.05000,2706316,45.04,54.52,61.33,-0.76
PJT,483877000,0.34%,129357000,354520000,418.61%,31.19%,7.24%,11.64%,2.55%,82.10%,,45.50%,9.10%,72.72%,1306367,40.33%,9.34%,117579,1.01,5,,,129.36000,629651,37.20,37.96,54.91,4.92
GATX,401800000,-1.02%,-8003900000,8405700000,,10.72%,10.23%,9.94%,-152.93%,11.90%,,2.95%,2.30%,9.36%,737442,3.53%,1.90%,132186,0.13,6,,,146.70000,278747,42.23,45.70,56.49,7.78
FSK,278000000,-8.80%,-7073000000,7351000000,,-7.01%,-10.21%,11.99%,-135.20%,8.70%,,7.71%,3.90%,5.90%,,9.31%,2.80%,,0.12,6,,,18.67000,2943268,34.60,31.71,43.25,2.09
SIGI,63024000,-0.06%,-444914000,507938000,,0.12%,0.79%,-1.60%,-8.44%,6.50%,,9.25%,1.50%,10.38%,1834590,6.34%,2.64%,74646,0.38,6,,,86.03000,578186,47.48,46.05,45.18,3.23
TGTX,312298000,-0.01%,59736000,252562000,-45.42%,48.19%,130.97%,45.16%,1.06%,12.40%,10.19%,-59.76%,4.80%,-79.54%,973385,8.07%,-49.18%,69180,0.68,3,0.51,7.68,35.98000,3066366,44.17,57.95,64.08,0.15
MTN,504555000,-2.25%,-2428160000,2932715000,,-0.17%,-0.90%,6.82%,-46.40%,38.40%,14.13%,8.51%,4.60%,17.52%,55588,11.81%,3.56%,4893,0.52,7,15.71,1.48,139.79000,731139,38.79,28.34,30.32,6.90
CWEN.A,963000000,1.41%,-7823000000,8786000000,,1.85%,13.93%,7.96%,-143.03%,3.70%,2.64%,2.26%,0.60%,6.88%,21483333,1.84%,1.16%,1283333,0.09,4,9.18,0.58,25.81000,217151,41.94,50.60,50.13,0.75
NVMI,586566000,-2.17%,350470000,236096000,75.64%,2.24%,-3.30%,47.94%,6.65%,21.20%,21.58%,12.63%,14.20%,20.48%,571280,13.69%,12.90%,156127,0.52,7,1.94,9.08,177.98000,238839,41.52,40.57,51.54,5.75
ZK,1376772028,2.97%,-663909495,2040681523,,,104.14%,,-13.38%,,2.37%,19.95%,-20.30%,,596307,-202.65%,,-50358,2.40,5,13.53,0.49,20.48000,738651,37.33,41.26,0.00,-3.74
IDCC,958208000,-0.17%,486436000,471772000,22.04%,3.73%,-22.38%,1.19%,9.43%,49.50%,42.79%,12.75%,20.50%,22.42%,2019805,27.62%,8.84%,833986,0.50,6,,6.17,202.55000,359175,49.85,59.14,77.21,12.07
NEU,77476000,-10.10%,-963896000,1041372000,,-4.82%,45.90%,8.15%,-18.55%,35.50%,23.28%,16.75%,14.70%,35.66%,1352698,18.66%,13.08%,224472,0.88,5,3.95,4.33,548.41000,48894,47.76,51.28,55.18,48.22
INFA,1232411000,-0.51%,-628197000,1860608000,,-1.26%,-1.41%,,-10.54%,0.40%,4.76%,0.82%,0.20%,-5.66%,315388,0.57%,-1.76%,1910,0.32,7,,1.50,17.19000,8679133,45.12,27.78,37.15,0.03
CTRE,213822000,0.06%,-183105000,396927000,,-16.15%,-33.36%,-6.47%,-3.53%,5.60%,,6.73%,4.40%,5.28%,14108857,5.77%,3.30%,5956190,0.10,4,,,27.67000,1666743,49.73,50.57,56.75,0.80
GPI,34400000,-4.27%,-5202800000,5237200000,,22.50%,34.48%,9.47%,-99.92%,17.20%,14.15%,11.60%,5.40%,26.00%,976549,8.35%,8.38%,24401,2.15,4,7.26,3.39,399.28000,207310,46.30,46.31,60.99,36.81
JXN,3767000000,13.64%,-2164000000,5931000000,,1.68%,46.66%,17.12%,-42.19%,8.90%,,11.97%,0.30%,19.82%,823929,6.82%,0.58%,227204,0.01,5,,,71.15000,1057533,37.38,37.77,52.02,11.74
TKC,1552277407,,-665653727,2217931134,,255.57%,314.09%,167.21%,-12.71%,10.80%,-1.43%,128.44%,5.20%,15.52%,149158,135.75%,6.48%,17481,0.44,6,,2.59,6.01000,805131,40.53,41.83,51.05,0.49
QFIN,5259171919,31.30%,5071881058,187290861,9.43%,51.04%,71.55%,46.94%,184.17%,27.30%,-9.93%,25.96%,13.20%,32.02%,666703,23.33%,13.50%,243302,0.36,5,,2.65,36.73000,3544339,39.85,50.44,65.02,5.65
QRVO,769432000,-21.01%,-779798000,1549230000,,-8.87%,-23.70%,-0.31%,-15.15%,0.80%,3.02%,7.25%,0.40%,9.40%,435688,0.66%,5.92%,3102,0.60,8,3.24,2.16,55.12000,2968065,35.38,28.90,34.86,0.28
OMF,1142000000,1.42%,-20296000000,21438000000,,6.49%,8.20%,4.49%,-402.34%,15.90%,,3.74%,2.00%,25.64%,273667,2.07%,3.56%,56556,0.10,4,,,43.02000,1640976,39.59,36.74,44.92,4.24
OLED,492670000,,492670000,,-4.17%,,,,9.52%,14.30%,17.89%,14.33%,12.50%,16.04%,1420360,12.06%,12.72%,487015,0.37,6,0.84,16.51,108.11000,1488623,31.87,26.18,37.81,4.65
BPMC,627112000,-0.51%,158006000,469106000,-59.32%,61.48%,41.09%,37.36%,3.17%,-21.60%,-4.10%,-48.64%,-5.80%,-62.88%,784012,-27.62%,-22.58%,-103373,0.44,3,1.16,1.35,80.27000,1248160,37.79,39.83,48.24,-1.07
CHRD,36950000,-3.55%,-858469000,895419000,,30.05%,109.29%,,-16.88%,10.80%,10.30%,,7.30%,,6891184,8.74%,,1113684,0.45,4,26.30,1.64,85.89000,1838814,33.96,28.67,30.62,16.02
SLGN,822854000,8.63%,-3313999000,4136853000,,2.93%,20.72%,13.01%,-64.72%,14.00%,8.14%,7.74%,3.50%,20.90%,338128,6.66%,4.44%,15962,0.74,6,5.18,1.94,47.62000,687321,41.66,38.77,48.70,2.58
BCPC,49515000,-15.18%,-158529000,208044000,,20.79%,-37.02%,-4.05%,-3.15%,11.40%,12.91%,9.27%,8.10%,11.08%,700723,10.40%,7.44%,94398,0.60,7,5.14,9.10,156.09000,243200,41.19,41.43,51.02,3.93
GH,944193000,-0.40%,-362646000,1306839000,,-1.34%,-1.43%,108.39%,-7.26%,,-34.33%,-29.42%,-27.50%,137.82%,365668,-38.01%,-25.32%,-215919,0.47,3,4.36,-0.38,41.14000,2032832,45.89,55.08,52.81,-3.56
LNC,5801000000,-0.66%,-355000000,6156000000,,-2.42%,3.48%,-0.67%,-6.97%,38.90%,,9.87%,0.80%,12.42%,1885107,24.60%,0.42%,325463,0.05,4,,,29.78000,3452310,37.41,39.98,45.23,18.41
TX,4076575897,-2.30%,1738033581,2338542316,-33.92%,5.58%,110.30%,-0.24%,347.75%,5.07%,11.98%,15.22%,2.68%,15.18%,544020,10.49%,9.14%,19246,0.83,3,3.52,2.37,25.83000,289181,29.38,30.92,36.73,-0.30
DINO,800000000,-0.30%,-2216000000,3016000000,,-4.77%,-2.55%,0.62%,-43.71%,1.80%,2.76%,7.43%,1.00%,9.98%,5395507,1.78%,4.96%,33415,1.66,5,9.45,2.79,26.91000,4412552,32.24,24.37,30.24,0.91
GKOS,323648000,-34.19%,220249000,103399000,,-35.33%,-73.05%,7.32%,4.34%,-22.90%,-15.07%,-10.97%,-15.60%,-19.02%,385408,-14.06%,-11.38%,-147108,0.41,3,1.89,13.97,89.66000,857908,39.58,27.80,45.53,-2.77
MOG.A,73808000,26.31%,-1030343000,1104151000,,12.49%,20.00%,2.47%,-20.39%,11.80%,10.25%,8.03%,5.20%,9.10%,271306,9.29%,3.80%,15742,0.89,6,3.17,3.70,160.14999,246982,41.92,38.09,51.74,6.56
KNF,281134000,0.12%,-445630000,726764000,,-0.35%,0.05%,,-9.07%,14.80%,13.15%,,7.40%,,608907,10.68%,,42360,1.06,7,6.66,4.22,89.27000,476663,46.07,44.73,64.56,3.55
ARW,188807000,-4.56%,-2934954000,3123761000,,5.94%,-17.96%,1.00%,-58.53%,6.80%,8.31%,12.08%,1.90%,16.58%,1263499,6.95%,4.64%,17741,1.35,5,4.98,2.29,96.68000,1040477,41.71,32.76,38.62,7.29
DDS,1043529000,-0.41%,488206000,555323000,24.58%,-3.01%,-1.62%,-2.02%,9.96%,31.30%,26.56%,27.65%,15.60%,36.56%,222643,24.76%,16.80%,20050,1.73,5,3.46,7.22,316.80000,163757,35.75,31.42,44.62,36.82
HOMB,914072000,-37.36%,-288274000,1202346000,,9.65%,-36.15%,1.08%,-5.84%,10.30%,,7.17%,1.80%,10.12%,379811,7.79%,1.62%,157618,0.04,4,,,25.20000,1267973,36.32,38.96,49.69,2.01
SWX,363789000,-0.34%,-4694569000,5058358000,,-7.16%,-4.21%,13.59%,-93.99%,5.80%,5.22%,3.52%,1.70%,4.04%,459670,4.77%,1.26%,17876,0.43,4,,0.98,69.52000,460469,43.69,44.16,49.52,2.76
LANC,203073000,-1.73%,161545000,41528000,34.03%,36.72%,211.70%,16.08%,3.25%,16.70%,18.82%,14.24%,13.00%,15.16%,558862,14.79%,11.76%,46139,1.57,6,8.94,15.65,181.14000,189175,52.10,49.09,50.13,5.69
SITE,107100000,-1.23%,-844200000,951300000,,16.16%,10.44%,3.98%,-16.79%,7.90%,6.57%,10.60%,4.00%,16.96%,547060,5.90%,7.66%,14892,1.47,4,3.73,4.52,111.05000,785243,39.26,36.49,41.06,2.71
ELP,956626196,,-1629538315,2586164511,,91.34%,30.54%,,-132.25%,10.10%,495.93%,9.32%,4.30%,14.38%,759919,7.49%,6.26%,79945,0.41,4,108.67,1.22,7.20000,283479,48.71,55.36,49.95,0.81
ELPC,953162987,,-1623639009,2576801996,,91.34%,30.54%,,-315.12%,10.10%,621.58%,9.32%,4.30%,14.38%,740774,7.49%,6.26%,77931,0.41,4,108.67,1.14,6.37500,5535,47.93,54.67,39.98,0.53
RITM,1767186000,10.50%,-33611576000,35378762000,,3.87%,16.32%,-0.24%,-672.46%,11.20%,,3.21%,1.90%,2.96%,768247,5.48%,0.48%,127100,0.11,4,,,9.57000,9474999,26.48,30.11,43.41,1.67
RHP,576228000,0.28%,-2937285000,3513513000,,4.82%,0.21%,5.67%,-60.02%,150.30%,,5.33%,5.30%,221.36%,1590228,12.69%,-0.16%,184662,0.45,4,,,83.47000,1090756,38.47,22.66,40.41,4.38
JBTM,1228400000,93.14%,-23700000,1252100000,,22.91%,93.70%,12.36%,-0.48%,5.60%,4.01%,7.03%,2.90%,21.42%,140656,3.76%,8.52%,7000,0.59,6,4.62,3.31,95.86000,816715,27.56,34.12,42.48,2.65
GGB,1402070299,,-1124846929,2526917228,,0.56%,-18.80%,45.36%,-24.32%,8.50%,30.50%,14.51%,5.60%,20.10%,389115,7.09%,11.56%,26509,0.83,5,4.50,2.20,2.43000,14173419,34.56,32.29,35.83,0.32
NBIS,2449600000,265.05%,2412000000,37600000,,-69.75%,-97.87%,-15.84%,48.69%,-19.70%,-19.61%,-4.43%,-10.50%,1.10%,4457,-13.46%,0.52%,-24460,0.02,1,,11.55,21.04000,8645471,41.39,42.29,43.33,-1.68
SPSC,241017000,-5.33%,228549000,12468000,-12.57%,-15.32%,-11.13%,-12.18%,4.62%,10.00%,11.25%,9.09%,8.30%,10.58%,229165,7.94%,8.58%,27687,0.68,5,,18.48,130.08000,398167,45.77,30.21,39.83,2.04
CADE,220187000,8.17%,-855857000,1076044000,,25.97%,1.93%,13.49%,-17.49%,9.00%,,4.97%,1.00%,7.02%,139168,5.52%,0.80%,28712,0.05,4,,,26.97000,1685161,35.15,30.69,45.48,1.66
RMBS,481798000,-0.13%,451647000,30151000,14.30%,-46.67%,-1.81%,-31.16%,9.09%,17.20%,15.97%,6.39%,14.20%,9.86%,781775,14.29%,8.14%,252558,0.44,7,2.73,14.69,46.24000,1506608,40.78,40.38,46.47,1.65
ZWS,198000000,-0.54%,-340900000,538900000,,-0.58%,1.18%,-14.05%,-6.92%,10.00%,10.06%,6.95%,6.00%,6.76%,626600,8.85%,,64080,0.59,6,3.12,3.27,29.19000,1654321,32.28,30.22,45.91,0.92
CRL,194606000,-1.29%,-2529388000,2723994000,,-2.25%,-11.17%,6.33%,-51.52%,0.30%,3.31%,6.85%,0.10%,13.72%,201492,0.91%,5.12%,512,0.51,5,8.25,1.77,99.95000,5615887,24.00,23.26,32.58,0.20
BWIN,312769000,-0.10%,-1159695000,1472464000,,14.44%,5.95%,105.31%,-40.45%,-4.10%,4.07%,0.88%,-0.70%,-7.84%,337473,,-1.58%,-5957,0.39,5,,1.07,41.72500,744816,48.80,50.30,57.16,-0.39
SOBO,397000000,-59.54%,-5319000000,5716000000,,,,,-111.94%,11.60%,8.42%,,2.70%,,,6.76%,,,0.18,6,,0.73,22.91000,1584386,39.27,46.47,0.00,1.52
LSTR,566637000,32.53%,403297000,163340000,-1.16%,-10.56%,23.11%,-0.41%,8.42%,19.60%,21.83%,27.13%,11.10%,34.02%,3344375,15.88%,16.40%,135979,2.73,4,,9.17,138.87000,469699,35.80,26.67,34.85,5.51
TGS,306082593,,-132093816,438176409,,,931.61%,,-3.23%,2.80%,-0.43%,19.15%,1.70%,31.16%,488283,4.73%,17.04%,25360,0.32,4,70.41,5.78,23.29000,217387,41.21,43.64,59.75,0.19
REYN,137000000,-1.88%,-1642000000,1779000000,,-6.39%,-5.87%,-16.02%,-33.56%,17.10%,12.67%,9.95%,7.20%,18.08%,57734375,10.93%,6.66%,5500000,0.76,6,4.98,2.54,23.28000,899097,43.90,32.10,36.80,1.67
SRPT,1354792000,-4.86%,25195000,1329597000,-91.53%,5.31%,-3.58%,12.75%,0.52%,19.70%,8.07%,-16.97%,6.60%,-58.86%,1386282,6.88%,-13.44%,171457,0.54,5,0.44,1.12,50.31000,2902568,26.41,18.53,32.16,2.34
MAT,1387908000,1.95%,-1224617000,2612525000,,-2.91%,0.89%,-3.47%,-26.19%,25.30%,14.66%,13.08%,8.70%,37.62%,158222,11.91%,7.32%,15936,0.86,6,4.93,2.97,14.77000,6137686,26.04,29.87,39.78,1.58
RHI,537583000,-2.28%,304064000,233519000,-37.93%,-4.14%,-3.46%,-3.13%,6.19%,17.20%,22.80%,23.69%,8.60%,31.90%,394275,10.54%,15.72%,17116,1.99,4,,4.81,48.50000,1502998,38.45,26.66,31.77,2.44
KTOS,329300000,27.72%,47300000,282000000,,-6.00%,-12.26%,-3.82%,0.97%,1.20%,1.78%,6.20%,0.80%,1.26%,284075,1.09%,0.66%,4075,0.59,6,5.34,5.39,31.71000,2343786,55.80,58.74,65.22,0.11
WEX,5198300000,-4.44%,823000000,4375300000,-34.35%,7.69%,9.43%,7.28%,16.78%,18.40%,13.09%,5.30%,2.20%,,404323,8.67%,,47631,0.19,4,,0.84,124.37000,1083377,36.64,29.25,37.46,7.50
LOPE,324623000,1.45%,216105000,108518000,48.81%,21.05%,9.30%,-8.53%,4.42%,29.50%,32.10%,21.18%,22.40%,25.02%,177187,23.97%,19.60%,38805,1.02,6,,18.23,170.31000,230209,47.82,54.38,65.20,7.73
LB,37032000,37.15%,-344207000,381239000,,,196.26%,,-7.16%,2.30%,3.07%,,0.70%,,27488500,-1.48%,,1277500,0.14,4,,7.55,62.85000,414194,42.64,50.95,0.00,0.07
JHG,2074000000,-43.46%,1679000000,395000000,6.26%,8.37%,29.68%,4.55%,34.19%,9.00%,9.52%,7.95%,6.10%,8.54%,1071577,9.21%,5.86%,177166,0.37,6,,2.75,30.44000,2010473,33.16,27.73,44.23,2.56
PHI,192116652,,-5668008701,5860125353,,42.57%,38.24%,15.90%,-119.49%,29.30%,-0.42%,6.07%,5.20%,21.34%,250407,8.52%,4.00%,37309,0.35,5,7.50,0.73,21.98000,70812,45.19,43.19,42.75,2.57
NJR,1908000,1.62%,-3579883000,3581791000,,6.29%,5.94%,11.95%,-74.96%,15.00%,8.84%,5.75%,4.80%,11.68%,1324847,6.68%,3.62%,241751,0.26,6,4.93,1.35,47.62000,621271,47.66,52.04,54.19,3.33
PECO,8649000,0.23%,-2100894000,2109543000,,3.70%,7.12%,-2.17%,-48.77%,2.70%,,3.22%,1.30%,1.70%,2204640,3.89%,0.78%,208950,0.13,5,,,34.52000,1248445,43.10,41.99,48.12,0.51
GNTX,255623595,,255623595,,6.16%,,,,5.42%,16.70%,18.83%,17.02%,14.80%,17.82%,374081,15.96%,15.72%,65409,0.85,6,3.68,12.28,20.95000,3105852,30.10,22.85,30.01,1.76
ESGR,1554000000,,-279000000,1833000000,,2.72%,0.11%,9.00%,-5.64%,9.20%,,8.05%,2.70%,10.16%,1525316,8.10%,2.82%,683544,0.06,5,,,332.23000,104909,53.12,63.35,65.02,35.90
MNSO,915728895,48.26%,490578987,425149908,-36.31%,65.08%,148.27%,,41.02%,27.10%,-14.40%,32.35%,16.10%,27.96%,332422,18.75%,3.26%,51202,1.05,5,4.01,2.96,15.39000,1787649,34.96,35.30,43.03,1.15
JOBY,933613000,-1.64%,902404000,31209000,-9.97%,,1.79%,53.59%,19.07%,-68.30%,-52.62%,-22.60%,-55.20%,-25.06%,67,-63.24%,-30.54%,-299672,,1,,6.84,6.02000,11650211,46.69,44.30,47.61,-0.87
SKY,581753000,0.02%,557057000,24696000,17.71%,-19.16%,0.13%,-19.20%,11.83%,11.20%,13.24%,18.46%,8.30%,22.16%,282087,10.10%,15.28%,19169,1.22,6,5.79,8.12,82.77000,550730,33.39,38.36,50.40,2.83
MTDR,94742000,-7.53%,-3230666000,3325408000,,29.60%,50.70%,16.01%,-68.19%,18.60%,13.69%,12.74%,9.30%,17.36%,7754383,12.82%,9.00%,1958677,0.37,4,23.98,1.58,37.84000,3212359,32.96,31.73,37.98,7.14
CSWI,213754000,,213754000,,,,,,4.52%,16.00%,14.73%,12.68%,11.10%,15.80%,330235,13.22%,9.02%,51288,0.72,6,2.67,12.08,282.00000,185318,45.92,38.39,54.20,8.36
CMC,758403000,0.65%,-436367000,1194770000,,-6.75%,2.84%,0.47%,-9.38%,1.80%,2.61%,15.55%,1.10%,22.04%,594272,2.07%,11.78%,5616,1.15,5,6.15,3.54,41.85000,1830895,39.43,33.92,42.12,0.59
IBP,327600000,1.18%,-650700000,978300000,,1.43%,2.46%,9.52%,-13.91%,36.80%,22.54%,14.90%,12.60%,38.96%,272343,16.86%,11.16%,23759,1.44,5,10.89,5.11,170.37000,444938,46.61,40.35,47.84,9.10
OS,544174000,-6.36%,525580000,18594000,441.50%,-60.87%,-7.16%,-42.73%,11.49%,-94.40%,-44.73%,-21.68%,-37.30%,,326271,-78.94%,,-144134,0.84,3,,7.99,19.50000,1036084,40.82,33.77,0.00,-1.25
NXST,144000000,-2.64%,-6379000000,6523000000,,-4.37%,-4.59%,-5.14%,-138.08%,31.90%,13.50%,9.02%,6.20%,29.44%,415763,10.45%,5.76%,55517,0.46,8,,1.69,152.98000,842447,37.63,42.91,45.85,21.41
ETSY,1039500000,-0.02%,-1348213000,2387713000,,-0.01%,-0.08%,23.03%,-28.75%,-46.60%,24.22%,7.07%,12.40%,-522.88%,1170138,17.23%,6.98%,126367,1.15,6,,1.92,43.58000,4404632,42.65,35.88,36.25,2.35
AXSM,315353000,0.27%,123819000,191534000,-38.04%,56.77%,2.77%,57.23%,2.67%,-289.50%,-82.91%,-102.74%,-51.70%,-191.68%,564704,-112.88%,-65.88%,-420521,0.69,3,2.16,2.26,95.65000,1074488,28.31,45.14,54.50,-5.99
CALM,1240373000,,1240373000,,78.51%,,,,26.81%,48.70%,50.39%,13.04%,39.10%,17.00%,1238675,39.23%,13.48%,323056,1.50,6,7.96,8.25,94.68000,1485232,55.71,53.04,67.31,20.23
TXNM,4498000,4.52%,-5797839000,5802337000,,14.70%,16.91%,11.76%,-124.77%,9.90%,5.21%,6.17%,2.30%,8.10%,1162949,6.18%,1.94%,142552,0.18,4,5.88,0.62,50.06000,947024,40.72,53.19,59.54,2.67
VRNS,568418000,-0.20%,-175143000,743561000,,36.24%,146.38%,67.12%,-3.87%,-21.30%,-12.33%,-14.41%,-7.20%,-39.74%,246731,-9.81%,-12.02%,-42886,0.41,2,,1.85,41.14000,1304443,50.63,41.31,47.57,-0.86
KRYS,597517000,-2.88%,590256000,7261000,12.63%,-3.28%,-10.29%,17.36%,13.00%,10.30%,10.00%,-11.04%,9.40%,-8.12%,1056418,6.44%,-7.66%,324215,0.31,5,1.20,25.95,160.65000,407059,37.15,43.94,52.88,3.00
TIGO,756000000,-6.66%,-6013000000,6769000000,,-8.76%,-12.55%,-0.86%,-126.46%,7.30%,11.16%,1.03%,1.90%,3.00%,414571,6.30%,0.60%,19143,0.41,7,31.91,1.24,27.49000,1529751,40.80,52.25,58.61,1.46
AHR,123301000,-10.59%,-1747413000,1870714000,,-9.23%,-33.04%,,-38.84%,-1.80%,,2.17%,-0.80%,,18163754,,,-331684,0.45,5,,,28.96000,1237364,48.33,57.96,79.02,-0.29
GLOB,159185000,30.32%,-531858000,691043000,,36.62%,43.42%,41.16%,-11.53%,9.00%,9.12%,7.45%,5.80%,8.94%,77228,7.00%,6.18%,5298,0.85,5,,3.95,104.70000,1128527,31.66,26.07,33.56,3.72
PFSI,238482000,17.33%,-20313413000,20551895000,,13.69%,52.32%,23.71%,-444.00%,8.40%,,3.29%,1.40%,22.74%,357740,1.28%,3.28%,69904,0.07,3,,,89.28000,538088,31.74,37.70,50.87,5.84
VRNA,399757000,2.00%,170948000,228809000,-22.45%,240.26%,345.77%,182.89%,3.75%,-95.20%,-32.34%,-35.23%,-43.90%,-48.42%,202292,-35.68%,-32.60%,-829751,0.11,1,,8.63,53.93000,1007157,38.17,54.13,67.59,-2.16
RDN,41472000,17.62%,-2265685000,2307157000,,13.92%,50.08%,17.69%,-50.77%,13.30%,,11.04%,7.30%,14.06%,1172985,9.94%,7.74%,549491,0.16,3,,,31.55000,2797761,47.61,46.24,54.16,3.92
PAM,775561,,-569364,1344926,,205.63%,-25.78%,,-0.02%,12.90%,-0.18%,9.08%,6.40%,16.62%,860407,5.77%,7.16%,150025,0.37,4,6.18,1382.73,65.06000,187533,35.84,38.14,56.81,5.50
LYFT,2171164000,2.13%,1037755000,1133409000,17.80%,7.23%,11.55%,18.93%,22.92%,3.70%,3.49%,-51.63%,0.40%,-84.74%,1972057,-5.62%,-19.62%,7766,1.13,6,,-1.17,10.93000,15820311,43.35,37.05,41.55,0.06
MAIN,78251000,-3.51%,-2044120000,2122371000,,5.72%,17.76%,13.76%,-45.25%,19.20%,,9.01%,10.20%,14.42%,5202173,9.17%,7.44%,4885385,0.11,3,,,51.48000,605300,36.92,37.66,53.53,5.85
POR,12000000,1.86%,-4815000000,4827000000,,10.50%,8.72%,11.93%,-104.87%,8.70%,4.91%,4.93%,2.60%,7.86%,1180103,5.31%,2.30%,107376,0.29,6,17.88,0.92,41.62000,1564705,35.22,38.78,42.52,3.01
FG,2264000000,6.53%,93000000,2171000000,,29.88%,23.77%,,2.04%,16.10%,,,0.80%,,4292975,12.26%,,464873,0.07,6,,,33.79000,386849,38.10,38.93,47.80,4.88
